stereotype;accumulated_frequency;model_coverage
abstractindividual;1;1
activity;1;1
agent;3;2
atomicevent;4;1
belief;1;1
commitment;2;1
complexaction;1;1
complexevent;3;2
disposition;7;3
endurant;1;1
goal;1;1
humanagent;1;1
institutionalagent;1;1
intention;1;1
materialrelation;3;1
mentalmode;1;1
nonperceivablequality;7;3
normativedescription;6;1
object;5;3
organization;1;1
participation;18;2
processualrole;8;2
proposition;8;3
quale;1;1
qualitydimension;1;1
qualitystructure;1;1
service;1;1
set;2;1
stringnominalstructure;2;2
timepoint;2;1
trope;4;1
ufob;1;1
ufoc;2;1
viewpoint;1;1
