model,bringsAbout,characterization,comparative,componentOf,creation,derivation,externalDependence,formal,historicalDependence,instantiation,manifestation,material,mediation,memberOf,participation,participational,subCollectionOf,subQuantityOf,termination,triggers,none,other
abel2015petroleum-system,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9
abrahao2018agriculture-operations,0,1,0,3,0,6,0,0,0,0,0,11,2,0,0,0,0,0,0,0,29,1
aguiar2018rdbs-o,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,29,0
aguiar2019ooco,0,6,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0
aires2022valuenetworks-geo,0,1,0,3,0,6,0,0,0,0,0,11,2,0,0,0,0,0,0,0,29,1
albuquerque2011ontobio,0,3,15,5,0,0,0,0,0,0,0,1,11,3,0,0,0,0,0,0,5,0
alkhalaf2024,0,28,0,9,0,1,0,0,0,2,0,16,50,16,0,0,0,0,0,0,4,0
alpinebits2022,0,2,0,3,0,0,0,0,1,10,0,12,6,0,0,0,0,0,0,0,3,0
amaral2019rot,3,10,0,0,0,1,8,0,1,0,0,1,5,0,0,0,0,0,0,1,15,0
amaral2020game-theory,1,4,0,0,0,0,1,0,2,0,0,0,1,0,1,1,0,0,0,1,8,0
amaral2020rome,0,12,0,5,0,0,6,0,0,3,0,0,12,0,0,0,0,0,0,0,20,0
amaral2022ethical-requirements,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0
andersson2018value-ascription,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,14,0
andrade2023integracao,0,4,0,0,0,0,0,0,0,0,0,8,9,7,0,0,0,0,0,0,0,0
aristotle-ontology2019,0,23,0,24,0,2,0,0,0,0,0,7,32,2,2,0,0,10,0,0,44,1
barcelos2013normative-acts,0,0,0,11,0,0,0,0,0,0,0,0,0,2,0,0,5,0,0,0,0,0
barcelos2015transport-networks,0,0,0,83,0,31,0,12,0,0,0,92,129,1,0,0,0,0,0,0,0,0
barcelos2024resiliont,2,21,0,0,0,0,5,10,3,4,10,0,0,0,10,0,0,0,0,2,13,0
barros2020programming,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bernasconi2021ontovcm,0,0,0,5,6,0,3,1,1,9,2,0,19,2,14,0,0,0,0,0,5,0
bernasconi2023fair-principles,0,2,0,6,0,0,11,0,0,0,0,0,8,2,0,0,0,0,0,0,0,0
blums2024ccf,0,4,0,0,15,0,14,0,0,3,6,0,5,1,3,0,0,0,15,0,43,0
