stereotype,total_correlation,rank
category,3.2889049584403187,11
event,4.2633142287386665,5
kind,4.532552579753837,3
mode,3.3541075239018423,9
phase,2.644846463487156,16
quality,3.7518699889699554,7
relator,3.974405954297528,6
role,3.116868452264597,13
roleMixin,3.3363850585478096,10
subkind,3.354808809985985,8
none_c,1.9803976493231434,19
other_c,2.846183434535668,15
characterization,4.513275446499988,4
componentOf,3.002522887555819,14
material,3.195467922430019,12
mediation,4.588533547395931,2
participation,4.596645755937686,1
none_r,2.4371568535598973,17
other_r,2.076828692173734,18
