stereotype,total_correlation,rank
category,2.685545477336688,9
event,2.981876628898117,7
kind,3.7088218766345484,2
mode,2.4573775213612876,14
phase,2.257789542059857,16
quality,2.883241480300342,8
relator,3.542224645067426,4
role,2.535763663097542,12
roleMixin,2.6183474650120067,11
subkind,3.1833402037217633,5
none_c,1.682946595356884,18
other_c,2.165802030667908,17
characterization,3.5457179456310968,3
componentOf,2.6656491593053335,10
material,2.483866506590772,13
mediation,4.062091489572028,1
participation,2.988492821128396,6
none_r,2.3009852867443947,15
other_r,1.5200559441319204,19
