Percentage,Top k Stereotypes (Occurrence-wise),Coverage (Occurrence-wise),Top k Stereotypes (Group-wise),Coverage (Group-wise)
10.0,4,0.4453369639210347,4,0.26398026315789475
20.0,8,0.621783526208305,8,0.47368421052631576
30.0,13,0.7799863852961199,13,0.6455592105263158
40.0,17,0.8597685500340367,17,0.7442434210526315
50.0,22,0.9177671885636487,22,0.834703947368421
60.0,26,0.9523485364193329,26,0.8922697368421053
70.0,30,0.9745405037440436,30,0.9399671052631579
80.0,35,0.9910142954390742,35,0.9794407894736842
90.0,39,0.9982300884955753,39,0.9942434210526315
100.0,44,1.0,44,1.0
