Percentage,Top k Stereotypes (Occurrence-wise),Coverage (Occurrence-wise),Top k Stereotypes (Group-wise),Coverage (Group-wise)
10.0,2,0.43680866086137915,2,0.23834196891191708
20.0,4,0.6147328783243116,4,0.4525043177892919
30.0,6,0.7526476818074841,6,0.6269430051813472
40.0,8,0.8672628853847965,8,0.7616580310880829
50.0,10,0.9336314426923982,10,0.8601036269430051
60.0,12,0.9672864203341963,12,0.9291882556131261
70.0,14,0.9934102141680395,14,0.9775474956822107
80.0,16,0.9997646505060014,16,0.998272884283247
90.0,18,1.0,18,1.0
100.0,21,1.0,21,1.0
