Stereotype,DistanceFromOrigin,Rank
none,0.4302211173555851,1
mediation,0.19800046116305905,2
characterization,0.15011378799106076,3
material,0.10940271954553697,4
componentOf,0.0855613867014787,5
participation,0.07535007804526414,6
derivation,0.06610020871667417,7
other,0.05773465564052124,8
memberOf,0.046161965996544735,9
externalDependence,0.04391703754265958,10
creation,0.03934128925031523,11
instantiation,0.03831814221361618,12
historicalDependence,0.03422685661001535,13
manifestation,0.02574391150462718,14
bringsAbout,0.025460895856455674,15
triggers,0.020719317255377612,16
comparative,0.011449806701198087,17
participational,0.009095470066614465,18
termination,0.006224713827033941,19
subQuantityOf,0.004841648024542448,20
subCollectionOf,0.004496095446892357,21
