Stereotype,DistanceFromOrigin,Rank
none,1670.0986502053613,1
mediation,641.0378651387044,2
characterization,400.0236287917033,3
material,325.01919839325893,4
componentOf,233.01376377116716,5
participation,207.01222789970646,6
other,163.0096287326191,7
derivation,106.00626162980137,8
memberOf,73.00431225448585,9
externalDependence,69.00407596656882,10
instantiation,69.00407596656882,10
creation,60.003544318755495,11
historicalDependence,44.00259916708736,12
manifestation,34.00200844729478,13
bringsAbout,30.001772159377747,14
comparative,22.00129958354368,15
participational,17.00100422364739,16
triggers,16.00094515166813,17
subQuantityOf,11.00064979177184,18
subCollectionOf,8.000472575834065,19
termination,5.000295359896291,20
