Stereotype,DistanceFromOrigin,Rank
none,0.8957568452957099,1
mediation,0.6856410420781978,2
characterization,0.6303474096525365,3
material,0.42023160643502433,4
componentOf,0.353879247524231,5
derivation,0.33176179455396654,6
participation,0.30964434158370213,7
memberOf,0.23223325618777654,8
other,0.23223325618777654,8
externalDependence,0.2211745297026443,9
creation,0.19905707673237996,10
instantiation,0.18799835024724768,11
historicalDependence,0.17693962376211547,12
bringsAbout,0.13270471782158658,13
manifestation,0.13270471782158658,13
triggers,0.11058726485132214,14
comparative,0.05529363242566107,15
participational,0.04423490594052887,16
termination,0.033176179455396644,17
subCollectionOf,0.022117452970264434,18
subQuantityOf,0.022117452970264434,18
