Stereotype,DistanceFromOrigin,Rank
none,83.00904419260215,1
mediation,62.39025998974441,2
characterization,57.16558048058656,3
material,38.16384839342853,4
componentOf,32.10006396886606,5
derivation,30.022116926124614,6
participation,28.09025631780529,7
other,21.074606984385586,8
memberOf,21.0149853140675,9
externalDependence,20.014057559625435,10
creation,18.01181086989463,11
instantiation,17.016536075241635,12
historicalDependence,16.00714632466878,13
manifestation,12.005689420016889,14
bringsAbout,12.004429711702826,15
triggers,10.001512173001235,16
comparative,5.0057150702811,17
participational,4.004265801926287,18
termination,3.00049224064992,19
subQuantityOf,2.0035707726980423,20
subCollectionOf,2.001889466647189,21
