Stereotype,DistanceFromOrigin,Rank
none,18.173513231508196,1
mediation,6.999907169246735,2
characterization,4.391748255651819,3
material,3.556673883213246,4
componentOf,2.5563821686243413,5
participation,2.2704906076096982,6
other,1.7863825376689253,7
derivation,1.1974295090365576,8
memberOf,0.8256577832536062,9
externalDependence,0.7808706545939917,10
instantiation,0.7724277393234725,11
creation,0.680889554928949,12
historicalDependence,0.5088999961182445,13
manifestation,0.3919077473330423,14
bringsAbout,0.35120640046529367,15
comparative,0.24522856897127127,16
triggers,0.20508654634905654,17
participational,0.18982879561492363,18
subQuantityOf,0.12152543355977112,19
subCollectionOf,0.08963273099168824,20
termination,0.06337991190049237,21
