Stereotype,DistanceFromOrigin,Rank
none,81.00016799315584,1
mediation,62.00012858735385,2
characterization,57.000118217405955,3
material,38.00007881160397,4
componentOf,32.000066367666506,5
derivation,30.000062219687347,6
participation,28.00005807170819,7
memberOf,21.000043553781143,8
other,21.000043553781143,8
externalDependence,20.000041479791566,9
creation,18.000037331812408,10
instantiation,17.00003525782283,11
historicalDependence,16.000033183833253,12
bringsAbout,12.000024887874938,13
manifestation,12.000024887874938,13
triggers,10.000020739895783,14
comparative,5.0000103699478915,15
participational,4.000008295958313,16
termination,3.0000062219687345,17
subCollectionOf,2.0000041479791566,18
subQuantityOf,2.0000041479791566,18
