model,year,total_class_number,total_relation_number
abel2015petroleum-system,2015,29,21
abrahao2018agriculture-operations,2018,22,53
aguiar2018rdbs-o,2018,43,31
andersson2018value-ascription,2018,13,17
barcelos2013normative-acts,2013,45,18
brazilian-governmental-organizational-structures,2011,15,7
carolla2014campus-management,2014,17,23
castro2012cloudvulnerability,2012,32,27
cmpo2017,2017,55,66
dpo2017,2017,40,51
franco2018rpg,2018,23,24
gailly2016value,2016,12,15
grueau2013towards,2014,13,3
guarino2016value,2016,18,37
guarino2018rea,2018,11,12
guizzardi2005ontological,2005,43,25
junior2018o4c,2018,11,5
kostov2017towards,2017,58,35
laurier2018rea,2018,23,18
martinez2013human-genome,2013,10,15
nardi2015ufo-s,2016,27,48
oliveira2007collaboration,2007,20,20
pereira2015doacao-orgaos,2015,25,9
quality-assurance-process-ontology2017,2017,37,28
ramirez2015userfeedback,2015,50,36
rodrigues2017urinary-profiles,2017,63,62
sales2018competition,2018,27,31
sales2018cover,2018,63,58
silva2012itarchitecture,2012,84,33
spmo2017,2018,34,27
zhou2017hazard-ontology-robotic-strolling,2017,13,14
zhou2017hazard-ontology-train-control,2017,25,30
