Stereotype,Frequency,Rank,Cumulative Frequency,Cumulative Percentage
subkind,2290,1,2290,19.567632231051867
role,2192,2,4482,38.297872340425535
kind,1912,3,6394,54.63556353071862
relator,1475,4,7869,67.23916944373237
category,623,5,8492,72.56259078868666
roleMixin,606,6,9098,77.74075023498249
mode,564,7,9662,82.56002734341622
event,474,8,10136,86.6102708707169
phase,423,9,10559,90.22472870204221
quality,269,10,10828,92.5232846278732
type,219,11,11047,94.39459967529693
collective,198,12,11245,96.08647355378963
datatype,125,13,11370,97.15457574980773
mixin,88,14,11458,97.90651969580449
situation,79,15,11537,98.58156028368793
enumeration,67,16,11604,99.15406306075366
quantity,45,17,11649,99.53857985132018
historicalRole,23,18,11672,99.7351106553875
phaseMixin,20,19,11692,99.90600700675041
historicalRoleMixin,9,20,11701,99.98291036486371
abstract,2,21,11703,100.0
