Percentage,Top k Stereotypes (Occurrence-wise),Coverage (Occurrence-wise),Top k Stereotypes (Group-wise),Coverage (Group-wise)
10.0,2,0.3829787234042553,2,0.24375
20.0,4,0.6723916944373237,4,0.4616071428571429
30.0,6,0.7774075023498248,6,0.6107142857142858
40.0,8,0.8661027087071691,8,0.725
50.0,10,0.9252328462787319,10,0.8258928571428571
60.0,12,0.9608647355378963,12,0.8991071428571429
70.0,14,0.979065196958045,14,0.9464285714285714
80.0,16,0.9915406306075365,16,0.9767857142857143
90.0,18,0.997351106553875,18,0.9919642857142857
100.0,21,1.0,21,1.0
