Percentage,Top k Stereotypes (Occurrence-wise),Coverage (Occurrence-wise),Top k Stereotypes (Group-wise),Coverage (Group-wise)
10.0,2,0.33666237113402064,2,0.21739130434782608
20.0,4,0.510631443298969,4,0.4057971014492754
30.0,6,0.6465850515463918,6,0.5579710144927537
40.0,9,0.8009020618556701,9,0.7318840579710145
50.0,11,0.8807989690721649,11,0.8134057971014492
60.0,13,0.9226804123711341,13,0.8731884057971014
70.0,16,0.9658505154639175,16,0.9384057971014492
80.0,18,0.9838917525773195,18,0.9692028985507246
90.0,20,0.9948453608247423,20,0.9855072463768116
100.0,23,1.0,23,1.0
