Stereotype,Frequency,Rank,Cumulative Frequency,Cumulative Percentage
mediation,625,1,625,27.48460861917326
characterization,382,2,1007,44.28320140721196
material,311,3,1318,57.959542656112575
componentOf,223,4,1541,67.76605101143359
participation,196,5,1737,76.38522427440633
derivation,100,6,1837,80.78276165347405
memberOf,69,7,1906,83.81706244503079
instantiation,67,8,1973,86.76341248900616
externalDependence,67,9,2040,89.70976253298153
creation,60,10,2100,92.34828496042216
historicalDependence,39,11,2139,94.06332453825857
manifestation,31,12,2170,95.42656112576957
bringsAbout,27,13,2197,96.61389621811786
comparative,22,14,2219,97.58135444151276
participational,17,15,2236,98.32893579595427
triggers,14,16,2250,98.94459102902374
subQuantityOf,11,17,2261,99.4283201407212
subCollectionOf,8,18,2269,99.78012313104662
termination,5,19,2274,100.0
