Stereotype,Frequency,Rank,Cumulative Frequency,Cumulative Percentage
mediation,373,1,373,18.78147029204431
kind,292,2,665,33.48439073514602
role,277,3,942,47.43202416918429
subkind,227,4,1169,58.86203423967774
relator,184,5,1353,68.12688821752266
componentOf,117,6,1470,74.01812688821752
material,113,7,1583,79.70795568982881
phase,83,8,1666,83.88721047331319
derivation,61,9,1727,86.95871097683786
collective,58,10,1785,89.87915407854985
memberOf,51,11,1836,92.44712990936556
category,36,12,1872,94.25981873111783
datatype,32,13,1904,95.87109768378652
roleMixin,24,14,1928,97.079556898288
mode,17,15,1945,97.93554884189325
subCollectionOf,13,16,1958,98.5901309164149
characterization,12,17,1970,99.19436052366567
enumeration,4,18,1974,99.39577039274926
quality,4,19,1978,99.59718026183283
mixin,4,20,1982,99.79859013091642
type,2,21,1984,99.8992950654582
comparative,1,22,1985,99.9496475327291
abstract,1,23,1986,100.0
event,0,24,1986,100.0
historicalRoleMixin,0,25,1986,100.0
historicalRole,0,26,1986,100.0
phaseMixin,0,27,1986,100.0
quantity,0,28,1986,100.0
bringsAbout,0,29,1986,100.0
situation,0,30,1986,100.0
externalDependence,0,31,1986,100.0
creation,0,32,1986,100.0
manifestation,0,33,1986,100.0
instantiation,0,34,1986,100.0
historicalDependence,0,35,1986,100.0
participation,0,36,1986,100.0
participational,0,37,1986,100.0
subQuantityOf,0,38,1986,100.0
termination,0,39,1986,100.0
triggers,0,40,1986,100.0
