Stereotype,Group-wise Frequency,Group-wise Rank,Cumulative Group-wise Frequency,Group-wise Cumulative Percentage
kind,39,1,39,10.684931506849315
mediation,36,2,75,20.54794520547945
relator,36,3,111,30.41095890410959
role,36,4,147,40.273972602739725
subkind,31,5,178,48.76712328767123
material,28,6,206,56.43835616438356
collective,24,7,230,63.013698630136986
derivation,21,8,251,68.76712328767123
componentOf,18,9,269,73.6986301369863
phase,17,10,286,78.35616438356165
memberOf,17,11,303,83.01369863013699
category,14,12,317,86.84931506849315
roleMixin,11,13,328,89.86301369863014
characterization,9,14,337,92.32876712328768
datatype,8,15,345,94.52054794520548
mode,7,16,352,96.43835616438356
subCollectionOf,4,17,356,97.53424657534246
mixin,3,18,359,98.35616438356163
quality,2,19,361,98.9041095890411
type,1,20,362,99.17808219178083
abstract,1,21,363,99.45205479452055
comparative,1,22,364,99.72602739726028
enumeration,1,23,365,100.0
event,0,24,365,100.0
historicalRoleMixin,0,25,365,100.0
historicalRole,0,26,365,100.0
phaseMixin,0,27,365,100.0
quantity,0,28,365,100.0
bringsAbout,0,29,365,100.0
situation,0,30,365,100.0
externalDependence,0,31,365,100.0
creation,0,32,365,100.0
manifestation,0,33,365,100.0
instantiation,0,34,365,100.0
historicalDependence,0,35,365,100.0
participation,0,36,365,100.0
participational,0,37,365,100.0
subQuantityOf,0,38,365,100.0
termination,0,39,365,100.0
triggers,0,40,365,100.0
