Percentage,Top k Stereotypes (Occurrence-wise),Coverage (Occurrence-wise),Top k Stereotypes (Group-wise),Coverage (Group-wise)
10.0,4,0.3882017126546147,4,0.2668298653610771
20.0,8,0.6044243577545195,8,0.4810281517747858
30.0,12,0.7547573739295909,12,0.6303549571603427
40.0,16,0.8518078020932446,16,0.7429620563035496
50.0,20,0.909847764034253,20,0.8274173806609547
60.0,24,0.94790675547098,24,0.8959608323133414
70.0,28,0.9757373929590866,28,0.9498164014687882
80.0,32,0.9921503330161751,32,0.9804161566707467
90.0,36,0.9992863939105614,36,0.996328029375765
100.0,40,1.0,40,1.0
