stereotype,total_correlation,rank
category,4.205885199810322,22
collective,3.8960346339360656,26
datatype,2.578114834905087,30
event,6.267674991311428,8
kind,6.663906712761218,5
mixin,2.786154371320059,29
mode,4.368694846144231,19
phase,3.7997306250876015,27
phaseMixin,3.5619649713047625,28
quality,4.234290807716704,21
relator,5.011153797688606,14
role,4.3462897280746615,20
roleMixin,4.551870392532433,17
situation,6.084723398288552,9
subkind,3.97682606871426,24
type,7.567704608605094,2
bringsAbout,6.516328734017079,6
characterization,5.311965729545343,12
componentOf,4.52295427751142,18
creation,4.853260276611356,15
derivation,3.9722970096930013,25
externalDependence,5.599723863279339,11
historicalDependence,6.501093623772073,7
instantiation,7.693578013204224,1
manifestation,7.213650502094554,3
material,4.046602105242226,23
mediation,5.2926980981686995,13
memberOf,4.752439525486301,16
participation,6.902397866748671,4
triggers,5.609408924756697,10
