Stereotype,Frequency,Rank,Cumulative Frequency,Cumulative Percentage
subkind,503,1,503,11.964795432921028
kind,480,2,983,23.382492863939106
mediation,365,3,1348,32.06470028544244
role,284,4,1632,38.82017126546147
characterization,260,5,1892,45.00475737392959
material,225,6,2117,50.356803044719314
relator,218,7,2335,55.54234062797336
category,206,8,2541,60.442435775451955
event,187,9,2728,64.89058039961941
roleMixin,171,10,2899,68.9581351094196
phase,143,11,3042,72.35965746907706
quality,131,12,3173,75.47573739295909
mode,124,13,3297,78.42530922930543
componentOf,117,14,3414,81.20837297811609
participation,101,15,3515,83.61084681255947
type,66,16,3581,85.18078020932445
datatype,64,17,3645,86.70313986679353
externalDependence,63,18,3708,88.20171265461465
instantiation,61,19,3769,89.65271170313986
situation,56,20,3825,90.9847764034253
derivation,52,21,3877,92.22169362511895
enumeration,38,22,3915,93.1255946717412
memberOf,36,23,3951,93.98192197906755
creation,34,24,3985,94.790675547098
collective,33,25,4018,95.5756422454805
manifestation,31,26,4049,96.31303520456707
historicalDependence,30,27,4079,97.02664129400571
historicalRole,23,28,4102,97.57373929590865
bringsAbout,23,29,4125,98.1208372978116
phaseMixin,20,30,4145,98.5965746907707
comparative,13,31,4158,98.9058039961941
triggers,13,32,4171,99.21503330161751
mixin,12,33,4183,99.50047573739296
historicalRoleMixin,9,34,4192,99.71455756422455
quantity,6,35,4198,99.85727878211227
termination,3,36,4201,99.92863939105614
participational,2,37,4203,99.97621313035204
abstract,1,38,4204,100.0
subQuantityOf,0,39,4204,100.0
subCollectionOf,0,40,4204,100.0
