year,bringsAbout,characterization,comparative,componentOf,creation,derivation,externalDependence,historicalDependence,instantiation,manifestation,material,mediation,memberOf,participation,participational,subCollectionOf,subQuantityOf,termination,triggers,none,other
2005,0,1,0,4,0,2,0,0,0,0,2,6,1,0,0,0,0,0,0,4,5
2007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0
2011,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
2012,0,0,0,0,0,2,0,0,0,0,8,17,0,0,0,0,0,0,0,28,5
2013,0,0,0,11,0,2,0,0,0,0,2,4,4,0,0,7,0,0,0,0,3
2014,0,0,0,3,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,10,0
2015,0,137,0,291,0,98,2,0,0,0,260,1263,121,0,0,12,3,0,0,145,296
2016,0,17,15,5,0,0,6,0,0,0,1,25,4,4,0,0,0,0,0,32,34
2017,0,3,0,2,0,4,0,0,0,0,20,11,0,0,0,0,0,0,0,315,20
2018,3,18,0,10,0,6,2,5,2,3,14,16,4,11,0,0,0,0,2,178,2
