year,bringsAbout,characterization,comparative,componentOf,creation,derivation,externalDependence,historicalDependence,instantiation,manifestation,material,mediation,memberOf,participation,participational,subCollectionOf,subQuantityOf,termination,triggers,none,other
2005,0.0,0.125,0.0,0.125,0.0,0.125,0.0,0.0,0.0,0.0,0.125,0.125,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.125
2007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2011,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
2012,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.125
2013,0.0,0.0,0.0,0.1111111111111111,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.1111111111111111,0.1111111111111111,0.2222222222222222,0.0,0.0,0.2222222222222222,0.0,0.0,0.0,0.0,0.1111111111111111
2014,0.0,0.0,0.0,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0
2015,0.0,0.11764705882352941,0.0,0.11764705882352941,0.0,0.0784313725490196,0.0196078431372549,0.0,0.0,0.0,0.09803921568627451,0.13725490196078433,0.09803921568627451,0.0,0.0,0.0392156862745098,0.0392156862745098,0.0,0.0,0.13725490196078433,0.11764705882352941
2016,0.0,0.16666666666666666,0.05555555555555555,0.05555555555555555,0.0,0.0,0.05555555555555555,0.0,0.0,0.0,0.05555555555555555,0.16666666666666666,0.1111111111111111,0.05555555555555555,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.1111111111111111
2017,0.0,0.05,0.0,0.1,0.0,0.05,0.0,0.0,0.0,0.0,0.25,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.1
2018,0.02702702702702703,0.10810810810810811,0.0,0.08108108108108109,0.0,0.02702702702702703,0.02702702702702703,0.02702702702702703,0.02702702702702703,0.02702702702702703,0.08108108108108109,0.16216216216216217,0.05405405405405406,0.02702702702702703,0.0,0.0,0.0,0.0,0.02702702702702703,0.24324324324324326,0.05405405405405406
