stereotype,total_correlation,rank
category,4.193439457299705,15
datatype,1.6289530140647694,22
event,6.152914668165904,3
kind,5.6782406583974065,6
mode,4.7893882395772245,9
phase,3.320987688158016,20
quality,4.0377383338836195,17
relator,4.69449403204116,10
role,4.082267017913535,16
roleMixin,4.294046140738092,13
situation,4.321362286996492,12
subkind,3.683196324111252,19
type,6.172896747405635,2
characterization,5.9097251971039295,4
componentOf,3.969796961650846,18
creation,4.5885926239270685,11
derivation,3.1953215018755325,21
externalDependence,5.009913290428782,8
instantiation,5.773125374404565,5
material,4.212441545519984,14
mediation,5.033802554443391,7
participation,6.1870901637368,1
