stereotype,total_correlation,rank
category,4.154173373471698,23
collective,4.516787974395562,19
datatype,2.0243768435822997,29
event,6.792271032401313,4
kind,6.169636903256201,9
mixin,2.117589389387689,28
mode,5.132791061704363,15
phase,3.5439608269023415,26
quality,4.163288695990975,22
relator,4.57617720215594,18
role,4.233706327331881,21
roleMixin,4.645253018212951,17
situation,5.564889253794904,11
subkind,3.379685876734192,27
type,7.1010068814836895,2
bringsAbout,6.263664810035836,8
characterization,6.313199693007621,7
componentOf,4.077588595770563,24
creation,5.10250175068689,16
derivation,3.6859988905215975,25
externalDependence,5.604510023236582,10
historicalDependence,6.633981263128618,5
instantiation,6.55228564353274,6
manifestation,7.08535019867411,3
material,4.444747619114436,20
mediation,5.342151504203592,13
memberOf,5.319619366972575,14
participation,7.220156689466956,1
triggers,5.4071381596389765,12
