stereotype,total_correlation,rank
category,3.4678257540582447,11
event,3.012600268586568,13
kind,4.125619164834185,4
mode,3.6088989849057143,8
phase,3.1400090392707414,12
quality,3.7747421041318514,5
relator,4.509740405981113,2
role,3.6000740329958463,9
roleMixin,2.343539732265955,16
subkind,3.758048465060379,6
none_c,1.9947181215040106,18
characterization,4.138726126678373,3
componentOf,3.727360361792127,7
derivation,2.485264697538857,15
material,3.499169941953231,10
mediation,4.599644091935167,1
participation,2.7087383488637933,14
none_r,2.132236204842616,17
other_r,1.3829848047725233,19
