stereotype,total_correlation,rank
category,4.504249165376398,23
collective,4.743926295312727,19
datatype,2.3661415917919886,32
event,7.321340668101561,4
kind,6.3607669465679315,9
mixin,2.4911539312014814,31
mode,5.418008503289092,15
phase,3.62690946828839,26
quality,4.562227016595932,21
relator,4.814295491929092,18
role,4.535916872092992,22
roleMixin,4.898881464301451,17
situation,5.755070873152464,11
subkind,3.546405937192608,27
type,7.347849904343057,3
none_c,2.5326226784046892,30
bringsAbout,6.4546025075636475,8
characterization,6.47346277916801,7
componentOf,4.261652909004474,24
creation,5.403199381195726,16
derivation,4.040703896354604,25
externalDependence,5.776665090163737,10
historicalDependence,6.865212103712292,5
instantiation,6.785996748138907,6
manifestation,7.449860903877148,2
material,4.73983132388102,20
mediation,5.489340230639847,14
memberOf,5.532948733098622,13
participation,7.544023035854005,1
triggers,5.740473461242846,12
none_r,2.8971581761705467,28
other_r,2.7621328307116233,29
