Stereotype,category,event,kind,mode,phase,quality,relator,role,roleMixin,subkind,type,none_c,characterization,componentOf,creation,derivation,externalDependence,material,mediation,participation,none_r,other_r
type,0.29943032777531786,0.427452276529823,-0.32912149996668705,0.22586711971605977,-0.043251033847118696,0.1210021047048309,0.005693619256996387,-0.17328903734505374,0.4517867908528451,-0.005722930160221623,1.0,-0.006722684701984383,0.2917997599054501,0.13874599202488563,0.40224752689587,-0.223807236417472,0.47890110663018975,-0.16828226342355893,-0.006419229473249109,0.5043592888081445,0.07666884954551172,0.08260991283668333
none_c,0.2314942512317476,-0.0016034756832562593,0.08577847076416296,0.18763829062941928,-0.04694648077359792,0.2782783119525674,-0.13332589431548972,0.09379470943683095,0.170135229912553,0.020480800977453216,-0.006722684701984383,1.0,0.07787625859842932,-0.011750366916975175,0.08350177616772007,-0.0015326792636317374,-0.044394838167369444,0.07067098298500497,0.0019397841248551912,0.03898008841619345,0.17562147752115345,-0.08945516732758547
characterization,0.4343746947208622,0.3898123551541488,0.006592558018338654,0.6087004599910806,0.08030205391099715,0.6253192888457033,0.270181196361654,0.13352882631279092,0.21780936572081797,0.2984809571679829,0.2917997599054501,0.07787625859842932,1.0,0.24058131975148342,0.19881901195308607,-0.018096371296461255,0.35952679528336967,0.26965470334707,0.21839442362935457,0.344970530217947,0.09448049013347426,-0.028876700965866323
componentOf,0.2765488215635843,0.026744075675740983,0.448941855941723,0.18146241459568965,0.1839920471292821,0.14867727622196292,0.37774905987217705,0.11214713194571795,0.053656089475054194,0.3246264244940139,0.13874599202488563,-0.011750366916975175,0.24058131975148342,1.0,0.06305667922142712,0.11492309309889893,-0.06570188677310163,0.3890413962028651,0.3264091063580054,0.06007410294887207,-0.09501564982641393,0.0938958861636074
creation,0.098101969286497,0.6469917750059777,-0.1500761992975253,0.21799165877770235,0.10658813405141797,0.010881043015454644,0.15789403550893688,0.004795637289796082,0.3936185657927254,0.0381239239828464,0.40224752689587,0.08350177616772007,0.19881901195308607,0.06305667922142712,1.0,-0.0015319095634684895,0.28510467524309097,0.02047706207381894,0.196950915590346,0.7167122801786197,0.06046644259971532,-0.032212838321496726
derivation,-0.1062922524413154,0.01006176365812417,0.1985468326538458,-0.002734691246226371,0.11282836173888852,-0.08872966982825542,0.2693500019528944,0.24008146268075184,0.025758567225007047,-0.038650566197832664,-0.223807236417472,-0.0015326792636317374,-0.018096371296461255,0.11492309309889893,-0.0015319095634684895,1.0,-0.20495177153584665,0.42972910696090866,0.3720960042444667,-0.0638551891204013,0.0514269027821243,0.18350227473220032
externalDependence,0.15044296223145173,0.42352432327600226,-0.3355024410406376,0.41611926602058863,-0.042223964040967114,0.034465569920864,0.07719760795779454,0.11358629145641785,0.36990280299519385,0.0157127739539207,0.47890110663018975,-0.044394838167369444,0.35952679528336967,-0.06570188677310163,0.28510467524309097,-0.20495177153584665,1.0,-0.20756243742562183,0.050683130211986414,0.29762376372174115,0.09435742659151773,0.004270032439856345
material,0.1373753481688049,0.07737184922006864,0.2726393947644854,0.18170874428905542,0.17095035485476773,0.16164678805549063,0.3647105682723584,0.11102192430605398,-0.024330244523751272,0.20615329071433997,-0.16828226342355893,0.07067098298500497,0.26965470334707,0.3890413962028651,0.02047706207381894,0.42972910696090866,-0.20756243742562183,1.0,0.42444947733369576,0.022389340603933758,-0.2622214495630795,0.06177859820061188
mediation,-0.06741095542358623,0.10277386316497102,0.29925822204181574,0.19550700686817052,0.41562184285293574,0.11711604216731529,0.8148077405323312,0.5103009291972147,0.14181987446026367,0.2674673224132509,-0.006419229473249109,0.0019397841248551912,0.21839442362935457,0.3264091063580054,0.196950915590346,0.3720960042444667,0.050683130211986414,0.42444947733369576,1.0,0.03607512413038481,-0.14297212567366388,0.008395022008280932
participation,0.20648852491219077,0.7934425497228884,-0.2137984444991815,0.14705358432529197,0.02767320627708486,0.21043807591038033,0.07308398441083816,-0.17913266239805783,0.363807961649538,0.08336487664627054,0.5043592888081445,0.03898008841619345,0.344970530217947,0.06007410294887207,0.7167122801786197,-0.0638551891204013,0.29762376372174115,0.022389340603933758,0.03607512413038481,1.0,0.10894998223686438,0.07462972497159846
none_r,0.18339878163006998,0.16718059271571165,0.10191564272266063,0.16790435138897225,-0.04071035980281546,-0.009804398476328321,-0.07557336547597553,0.12198086840858129,0.24623106664771385,0.027037649414991607,0.07666884954551172,0.17562147752115345,0.09448049013347426,-0.09501564982641393,0.06046644259971532,0.0514269027821243,0.09435742659151773,-0.2622214495630795,-0.14297212567366388,0.10894998223686438,1.0,-0.06071127522846096
other_r,-0.07533604142901677,0.09965857421254426,-0.010389186034522742,-0.06315589895911512,-0.058233841338801495,-0.10564550799539994,-0.013246054460449127,-0.14426875856893162,0.050473152129875465,-0.07532571025764986,0.08260991283668333,-0.08945516732758547,-0.028876700965866323,0.0938958861636074,-0.032212838321496726,0.18350227473220032,0.004270032439856345,0.06177859820061188,0.008395022008280932,0.07462972497159846,-0.06071127522846096,1.0
