stereotype,total_correlation,rank
category,4.266497230595458,13
event,5.973890784378661,1
kind,5.5547799643075955,5
mode,5.014955295516421,7
phase,3.347670008864162,18
quality,4.194566296229243,14
relator,4.808069717590475,9
role,4.188174463200155,15
roleMixin,4.279915389575553,12
subkind,3.7470589677989117,17
type,5.7266727754698445,4
none_c,2.165691507614755,21
characterization,5.806457372221418,3
componentOf,3.9889731528555536,16
creation,4.5823150458303905,10
derivation,3.3385967099426797,19
externalDependence,4.849862881782523,8
material,4.372786660073996,11
mediation,5.088466768483006,6
participation,5.869652765956792,2
none_r,2.6173850826458676,20
other_r,1.9777193621977536,22
