Percentage,Top k Stereotypes (Occurrence-wise),Coverage (Occurrence-wise),Top k Stereotypes (Group-wise),Coverage (Group-wise)
10.0,2,0.3414379993053143,2,0.21787709497206703
20.0,4,0.5158040986453629,4,0.4059590316573557
30.0,6,0.6523098298020146,6,0.5586592178770949
40.0,9,0.8068773879819382,9,0.7318435754189944
50.0,11,0.872872525182355,11,0.8119180633147114
60.0,13,0.9173324070857937,13,0.8733705772811918
70.0,16,0.9638763459534561,16,0.9366852886405959
80.0,18,0.9833275442862105,18,0.9683426443202979
90.0,20,0.9944425147620701,20,0.9851024208566108
100.0,23,1.0,23,1.0
