Stereotype,Frequency,Rank,Cumulative Frequency,Cumulative Percentage
subkind,503,1,503,17.471344216741926
kind,480,2,983,34.14379993053143
role,284,3,1267,44.008336227856894
relator,218,4,1485,51.58040986453629
category,206,5,1691,58.73567210837096
event,187,6,1878,65.23098298020146
roleMixin,171,7,2049,71.17054532823897
phase,143,8,2192,76.13754775963876
quality,131,9,2323,80.68773879819382
mode,124,10,2447,84.99478985758944
type,66,11,2513,87.2872525182355
datatype,64,12,2577,89.51024661340743
none,64,13,2641,91.73324070857937
situation,56,14,2697,93.67836054185481
other,40,15,2737,95.06773185133727
enumeration,38,16,2775,96.3876345953456
collective,33,17,2808,97.53386592566864
historicalRole,23,18,2831,98.33275442862104
phaseMixin,20,19,2851,99.02744008336228
mixin,12,20,2863,99.44425147620701
historicalRoleMixin,9,21,2872,99.75686002084056
quantity,6,22,2878,99.96526571726294
abstract,1,23,2879,100.0
