Stereotype,x_value,y_value,quadrant
bringsAbout,0,0.0,Q3
characterization,11,0.0901639344262295,Q1
comparative,1,0.0081967213114754,Q3
componentOf,13,0.1065573770491803,Q1
creation,0,0.0,Q3
derivation,9,0.0737704918032786,Q1
externalDependence,2,0.0163934426229508,Q1
historicalDependence,0,0.0,Q3
instantiation,0,0.0,Q3
manifestation,0,0.0,Q3
material,16,0.1311475409836065,Q1
mediation,15,0.1229508196721311,Q1
memberOf,10,0.081967213114754,Q1
participation,1,0.0081967213114754,Q3
participational,0,0.0,Q3
subCollectionOf,4,0.0327868852459016,Q1
subQuantityOf,2,0.0163934426229508,Q1
termination,0,0.0,Q3
triggers,0,0.0,Q3
other,14,0.1147540983606557,Q1
none,24,0.1967213114754098,Q1
