Stereotype,DistanceFromOrigin,Rank
mediation,45.724303236247614,1
none,19.20790395704386,2
other,12.69017402945518,3
componentOf,10.966034964634689,4
material,10.276698931948445,5
characterization,5.44902187592182,6
memberOf,4.483507943050086,7
derivation,3.897249982275089,8
subCollectionOf,0.6559922801676933,9
comparative,0.5173063219323015,10
externalDependence,0.2763487399192689,11
participation,0.13817436995963445,12
subQuantityOf,0.10473915571488385,13
historicalDependence,0.0,14
bringsAbout,0.0,14
creation,0.0,14
participational,0.0,14
instantiation,0.0,14
manifestation,0.0,14
termination,0.0,14
triggers,0.0,14
