Group,Support (Model Count),Coverage (%),Total Occurrences,Average Occurrences per Model
sortal,90,97.82608695652173,3552,38.608695652173914
non_sortal,74,80.43478260869566,608,6.608695652173913
rigid,91,98.91304347826086,3143,34.16304347826087
non_rigid,79,85.86956521739131,940,10.217391304347826
abstracts,23,25.0,119,1.2934782608695652
temporal,41,44.565217391304344,446,4.8478260869565215
other,12,13.043478260869565,52,0.5652173913043478
none,16,17.391304347826086,152,1.6521739130434783
rigid_sortal,88,95.65217391304348,2846,30.934782608695652
rigid_non_sortal,66,71.73913043478261,297,3.2282608695652173
non_rigid_sortal,67,72.82608695652173,629,6.836956521739131
non_rigid_non_sortal,47,51.08695652173913,311,3.380434782608696
undef,26,28.26086956521739,204,2.217391304347826
