Stereotype,Group-wise Frequency,Group-wise Rank,Cumulative Group-wise Frequency,Group-wise Cumulative Percentage
kind,77,1,77,11.0
relator,71,2,148,21.142857142857142
subkind,69,3,217,31.0
category,66,4,283,40.42857142857143
role,62,5,345,49.28571428571429
mode,46,6,391,55.85714285714286
quality,42,7,433,61.857142857142854
event,41,8,474,67.71428571428572
roleMixin,40,9,514,73.42857142857143
phase,33,10,547,78.14285714285715
collective,26,11,573,81.85714285714286
type,20,12,593,84.71428571428572
datatype,20,13,613,87.57142857142857
situation,17,14,630,90.0
none,16,15,646,92.28571428571428
mixin,14,16,660,94.28571428571428
other,12,17,672,96.0
phaseMixin,8,18,680,97.14285714285714
quantity,7,19,687,98.14285714285714
enumeration,5,20,692,98.85714285714286
historicalRole,4,21,696,99.42857142857143
historicalRoleMixin,3,22,699,99.85714285714286
abstract,1,23,700,100.0
