Percentage,Top k Stereotypes (Occurrence-wise),Coverage (Occurrence-wise),Top k Stereotypes (Group-wise),Coverage (Group-wise)
10.0,2,0.5577127659574468,2,0.2969004893964111
20.0,4,0.7147606382978723,4,0.49592169657422513
30.0,6,0.8586436170212766,6,0.632952691680261
40.0,8,0.9158244680851064,8,0.7406199021207178
50.0,10,0.9530585106382978,10,0.8238172920065253
60.0,12,0.9702127659574468,12,0.8809135399673735
70.0,14,0.9809840425531915,14,0.9265905383360522
80.0,16,0.9894946808510638,16,0.9624796084828712
90.0,18,0.995345744680851,18,0.9820554649265906
100.0,21,1.0,21,1.0
