stereotype,total_correlation,rank
bringsAbout,2.668093156534367,8
characterization,3.3054982518620877,6
componentOf,1.9733517043315967,13
creation,3.363105734127191,5
derivation,2.4442012361068444,10
externalDependence,3.206647949288323,7
historicalDependence,3.684669773670004,4
instantiation,3.7613345725663674,3
manifestation,4.1765113065084725,1
material,2.54609523101955,9
mediation,2.440592433719202,11
memberOf,2.407135076832916,12
participation,4.073226053962237,2
none,1.1796128094242775,15
other,1.5245815363454245,14
