year,bringsAbout,characterization,comparative,componentOf,creation,derivation,externalDependence,historicalDependence,instantiation,manifestation,material,mediation,memberOf,participation,participational,subCollectionOf,subQuantityOf,termination,triggers,none,other
2005,0,1,0,4,0,2,0,0,0,0,2,6,1,0,0,0,0,0,0,4,5
2007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0
2011,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
2012,0,0,0,0,0,2,0,0,0,0,8,17,0,0,0,0,0,0,0,28,5
2013,0,0,0,11,0,2,0,0,0,0,2,4,4,0,0,7,0,0,0,0,3
2014,0,0,0,3,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,10,0
2015,0,137,0,291,0,98,2,0,0,0,260,1263,121,0,0,12,3,0,0,145,296
2016,0,17,15,5,0,0,6,0,0,0,1,25,4,4,0,0,0,0,0,32,34
2017,0,3,0,2,0,4,0,0,0,0,20,11,0,0,0,0,0,0,0,315,20
2018,3,18,0,10,0,6,2,5,2,3,14,16,4,11,0,0,0,0,2,178,2
2019,0,19,0,12,0,6,0,2,5,1,11,57,8,8,0,0,0,0,0,87,79
2020,0,33,0,44,4,9,10,0,4,3,6,39,0,11,0,0,0,0,2,343,49
2021,6,86,1,71,7,6,15,10,12,9,113,100,12,30,1,0,10,0,3,258,8
2022,7,55,0,34,27,29,21,21,35,5,54,162,15,90,9,8,1,1,4,407,2
2023,9,108,17,46,12,15,16,0,7,2,63,144,33,9,0,0,0,4,3,337,13
2024,6,102,4,19,40,36,23,14,23,25,72,151,2,80,7,0,0,20,3,178,19
2025,8,46,1,0,17,0,28,6,9,23,30,20,0,21,1,0,0,14,4,90,0
