Stereotype,bringsAbout,characterization,componentOf,creation,derivation,externalDependence,historicalDependence,instantiation,manifestation,material,mediation,memberOf,participation,triggers
bringsAbout,1.0,0.22270765934531458,0.08563785744611009,0.0932007033244074,-0.02439750182371333,0.14181760626088277,0.33523571913354844,0.2107090987628963,0.2776571911605986,0.1650692216541385,-0.244367890641417,-0.0928783527441714,0.5016590831917551,0.6254766192440779
characterization,0.22270765934531458,1.0,0.31766841881867774,0.03848039904842488,-0.06784992838365131,0.30662003001779475,0.13411144192590008,0.22905362183789546,0.24338568609496944,0.21606417760158525,0.21336857774399212,0.08490780809508193,0.2142053172645568,0.26877649204419884
componentOf,0.08563785744611009,0.31766841881867774,1.0,0.03542517379650971,-0.14190167277705035,0.0398506367054186,0.16247998044929374,0.28669665767321995,0.30751313033793976,0.1989093468886312,0.12412914500946672,0.28669665767321995,0.004401742730832153,-0.13484632792227005
creation,0.0932007033244074,0.03848039904842488,0.03542517379650971,1.0,0.004943183324627379,0.1810222914738661,0.29498460149533806,0.35507234276322247,0.35441397096795113,-0.06643746858521142,0.052986754966680594,0.18284456188803816,0.6768308134423162,-0.06987737143038118
derivation,-0.02439750182371333,-0.06784992838365131,-0.14190167277705035,0.004943183324627379,1.0,-0.1297498240269205,-0.17332337048210342,-0.19277908580027833,-0.21327380589431782,0.4449052230017133,0.4118915973434532,0.17755968428973004,-0.09802848036984065,0.12787765607847015
externalDependence,0.14181760626088277,0.30662003001779475,0.0398506367054186,0.1810222914738661,-0.1297498240269205,1.0,0.3152208025561676,0.5285916222736762,0.38092068173709415,-0.2695874644135684,-0.02249286228462133,0.12495994417766822,0.22774023063179097,0.20627302913508241
historicalDependence,0.33523571913354844,0.13411144192590008,0.16247998044929374,0.29498460149533806,-0.17332337048210342,0.3152208025561676,1.0,0.5008281463583735,0.5045547859201088,-0.012028420648763203,0.0073909764501994225,0.1370425276105002,0.4550729785765644,0.29519491772002404
instantiation,0.2107090987628963,0.22905362183789546,0.28669665767321995,0.35507234276322247,-0.19277908580027833,0.5285916222736762,0.5008281463583735,1.0,0.7674326506353756,-0.18214877116000702,-0.11901975320427091,0.02784503631961259,0.41862120092536664,0.163264620139314
manifestation,0.2776571911605986,0.24338568609496944,0.30751313033793976,0.35441397096795113,-0.21327380589431782,0.38092068173709415,0.5045547859201088,0.7674326506353756,1.0,-0.10719696150831323,-0.12646691224544912,0.08660264286683926,0.4561842191710843,0.21997708184053588
material,0.1650692216541385,0.21606417760158525,0.1989093468886312,-0.06643746858521142,0.4449052230017133,-0.2695874644135684,-0.012028420648763203,-0.18214877116000702,-0.10719696150831323,1.0,0.3698313787921013,0.24448845754631957,-0.0685178670530009,0.0736587325025671
mediation,-0.244367890641417,0.21336857774399212,0.12412914500946672,0.052986754966680594,0.4118915973434532,-0.02249286228462133,0.0073909764501994225,-0.11901975320427091,-0.12646691224544912,0.3698313787921013,1.0,0.3303824183773727,-0.04782608695652174,-0.13966036203020538
memberOf,-0.0928783527441714,0.08490780809508193,0.28669665767321995,0.18284456188803816,0.17755968428973004,0.12495994417766822,0.1370425276105002,0.02784503631961259,0.08660264286683926,0.24448845754631957,0.3303824183773727,1.0,0.11901975320427091,-0.17089380799629128
participation,0.5016590831917551,0.2142053172645568,0.004401742730832153,0.6768308134423162,-0.09802848036984065,0.22774023063179097,0.4550729785765644,0.41862120092536664,0.4561842191710843,-0.0685178670530009,-0.04782608695652174,0.11901975320427091,1.0,0.32846048107103853
triggers,0.6254766192440779,0.26877649204419884,-0.13484632792227005,-0.06987737143038118,0.12787765607847015,0.20627302913508241,0.29519491772002404,0.163264620139314,0.21997708184053588,0.0736587325025671,-0.13966036203020538,-0.17089380799629128,0.32846048107103853,1.0
