Stereotype,Group-wise Frequency,Group-wise Rank,Cumulative Group-wise Frequency,Group-wise Cumulative Percentage
mediation,50,1,50,16.33986928104575
characterization,46,2,96,31.372549019607842
material,29,3,125,40.849673202614376
derivation,24,4,149,48.69281045751634
participation,23,5,172,56.209150326797385
componentOf,22,6,194,63.39869281045751
externalDependence,18,7,212,69.28104575163398
creation,15,8,227,74.18300653594771
instantiation,14,9,241,78.75816993464052
memberOf,14,10,255,83.33333333333334
historicalDependence,13,11,268,87.58169934640523
manifestation,11,12,279,91.17647058823529
bringsAbout,10,13,289,94.44444444444444
triggers,8,14,297,97.05882352941177
comparative,4,15,301,98.36601307189542
participational,3,16,304,99.34640522875817
termination,2,17,306,100.0
subQuantityOf,0,18,306,100.0
subCollectionOf,0,19,306,100.0
