stereotype,total_correlation,rank
category,3.2918777271821025,11
event,4.239682997745148,5
kind,4.583703323883984,3
mode,3.291734176133307,12
phase,2.5489636092887498,17
quality,3.7829489918640467,7
relator,4.052455638383113,6
role,3.21372875189412,13
roleMixin,3.3381009711154475,10
subkind,3.3755656893618733,9
none_c,1.9222927310268751,20
other_c,2.823447093965711,16
characterization,4.543509144508957,4
componentOf,3.033056804320718,14
derivation,2.976962735487776,15
material,3.392208103391745,8
mediation,4.676560061729117,1
participation,4.637870029961361,2
none_r,2.4879851895956246,18
other_r,2.2569203382982437,19
