Stereotype,DistanceFromOrigin,Rank
mediation,0.31393279483762065,1
characterization,0.2235092309941559,2
material,0.1683671128663488,3
componentOf,0.12818879486496176,4
participation,0.11317961011590139,5
derivation,0.08915162902064051,6
memberOf,0.062153667608834416,7
externalDependence,0.05908475107868985,8
creation,0.0527452992266193,9
instantiation,0.05251159730886531,10
historicalDependence,0.04512695358422753,11
manifestation,0.03402097704327706,12
bringsAbout,0.03334441688439223,13
triggers,0.026578629586948593,14
comparative,0.015854974910065132,15
participational,0.012537438252073634,16
termination,0.007995440356405611,17
subQuantityOf,0.006926471262116177,18
subCollectionOf,0.006150451834524571,19
