Stereotype,x_value,y_value,quadrant
bringsAbout,0.1304347826086956,0.0308483290488431,Q3
characterization,0.6195652173913043,0.1465295629820051,Q1
comparative,0.0543478260869565,0.0128534704370179,Q3
componentOf,0.3478260869565217,0.0822622107969151,Q1
creation,0.1956521739130435,0.0462724935732647,Q1
derivation,0.3260869565217391,0.0771208226221079,Q1
externalDependence,0.217391304347826,0.0514138817480719,Q1
historicalDependence,0.1739130434782608,0.0411311053984575,Q3
instantiation,0.1847826086956521,0.0437017994858611,Q1
manifestation,0.1304347826086956,0.0308483290488431,Q3
material,0.4130434782608695,0.0976863753213367,Q1
mediation,0.6739130434782609,0.1593830334190231,Q1
memberOf,0.2282608695652173,0.0539845758354755,Q1
participation,0.3043478260869565,0.0719794344473007,Q1
participational,0.0434782608695652,0.0102827763496143,Q3
subCollectionOf,0.0217391304347826,0.0051413881748071,Q3
subQuantityOf,0.0217391304347826,0.0051413881748071,Q3
termination,0.0326086956521739,0.0077120822622107,Q3
triggers,0.108695652173913,0.0257069408740359,Q3
