Stereotype,DistanceFromOrigin,Rank
mediation,0.6925039649792496,1
characterization,0.6366568710293101,2
material,0.42443791401954,3
componentOf,0.3574214012796126,4
derivation,0.33508256369963685,5
participation,0.31274372611966106,6
memberOf,0.2345577945897457,7
externalDependence,0.22338837579975782,8
creation,0.20104953821978214,9
instantiation,0.18988011942979416,10
historicalDependence,0.17871070063980626,11
bringsAbout,0.13403302547985468,12
manifestation,0.13403302547985468,12
triggers,0.11169418789987891,13
comparative,0.05584709394993944,14
participational,0.04467767515995155,15
termination,0.03350825636996366,16
subCollectionOf,0.022338837579975762,17
subQuantityOf,0.022338837579975762,17
