Stereotype,DistanceFromOrigin,Rank
mediation,62.39025998974441,1
characterization,57.16558048058656,2
material,38.16384839342853,3
componentOf,32.10006396886606,4
derivation,30.022116926124614,5
participation,28.09025631780529,6
memberOf,21.0149853140675,7
externalDependence,20.014057559625435,8
creation,18.01181086989463,9
instantiation,17.016536075241635,10
historicalDependence,16.00714632466878,11
manifestation,12.005689420016889,12
bringsAbout,12.004429711702826,13
triggers,10.001512173001235,14
comparative,5.0057150702811,15
participational,4.004265801926287,16
termination,3.00049224064992,17
subQuantityOf,2.0035707726980423,18
subCollectionOf,2.001889466647189,19
