Stereotype,DistanceFromOrigin,Rank
mediation,62.00020486217237,1
characterization,57.000188341029435,2
material,38.000125560686286,3
componentOf,32.00010573531477,4
derivation,30.0000991268576,5
participation,28.00009251840042,6
memberOf,21.000069388800316,7
externalDependence,20.00006608457173,8
creation,18.000059476114558,9
instantiation,17.00005617188597,10
historicalDependence,16.000052867657384,11
bringsAbout,12.00003965074304,12
manifestation,12.00003965074304,12
triggers,10.000033042285866,13
comparative,5.000016521142933,14
participational,4.000013216914346,15
termination,3.00000991268576,16
subCollectionOf,2.000006608457173,17
subQuantityOf,2.000006608457173,17
