Stereotype,DistanceFromOrigin,Rank
mediation,643.9914595706996,1
characterization,404.04083951996734,2
material,327.2139972556186,3
componentOf,235.1871595134394,4
participation,208.88513590009222,5
derivation,110.16351483136329,6
memberOf,75.96051605933177,7
externalDependence,71.84010022264724,8
instantiation,71.06335201775948,9
creation,62.6418390534633,10
historicalDependence,46.8187996428785,11
manifestation,36.05551275463989,12
bringsAbout,32.31098884280702,13
comparative,22.561028345356956,14
triggers,18.867962264113206,15
participational,17.46424919657298,16
subQuantityOf,11.180339887498949,17
subCollectionOf,8.246211251235321,18
termination,5.830951894845301,19
