Stereotype,x_value,y_value,quadrant
abstract,0,0.0,Q3
category,20,0.1030927835051546,Q1
collective,9,0.0463917525773195,Q1
datatype,6,0.0309278350515463,Q3
enumeration,3,0.0154639175257731,Q3
event,12,0.0618556701030927,Q1
historicalRole,0,0.0,Q3
historicalRoleMixin,0,0.0,Q3
kind,24,0.1237113402061855,Q1
mixin,8,0.0412371134020618,Q1
mode,12,0.0618556701030927,Q1
phase,8,0.0412371134020618,Q1
phaseMixin,0,0.0,Q3
quality,2,0.0103092783505154,Q3
quantity,5,0.0257731958762886,Q3
relator,20,0.1030927835051546,Q1
role,22,0.1134020618556701,Q1
roleMixin,14,0.0721649484536082,Q1
situation,4,0.0206185567010309,Q3
subkind,19,0.0979381443298969,Q1
type,6,0.0309278350515463,Q3
