Stereotype,DistanceFromOrigin,Rank
role,0.2837012468468942,1
subkind,0.20843387764311175,2
relator,0.19361823179306614,3
kind,0.17378855551286518,4
category,0.11529047310175503,5
roleMixin,0.09154092946771006,6
mode,0.07975368415932378,7
event,0.06605631430622694,8
phase,0.04793941792938016,9
collective,0.04786181611541411,10
mixin,0.042985068659203846,11
type,0.03953614405386429,12
datatype,0.03098080821499412,13
quantity,0.02645697156719564,14
situation,0.020714561820485644,15
enumeration,0.016015033021310333,16
quality,0.010437318257965712,17
abstract,0.0,18
historicalRole,0.0,18
historicalRoleMixin,0.0,18
phaseMixin,0.0,18
