Stereotype,x_value,y_value,quadrant
abstract,0.0,0.0,Q3
category,0.6896551724137931,0.1030927835051546,Q1
collective,0.3103448275862069,0.0463917525773195,Q1
datatype,0.2068965517241379,0.0309278350515463,Q3
enumeration,0.1034482758620689,0.0154639175257731,Q3
event,0.4137931034482758,0.0618556701030927,Q1
historicalRole,0.0,0.0,Q3
historicalRoleMixin,0.0,0.0,Q3
kind,0.8275862068965517,0.1237113402061855,Q1
mixin,0.2758620689655172,0.0412371134020618,Q1
mode,0.4137931034482758,0.0618556701030927,Q1
phase,0.2758620689655172,0.0412371134020618,Q1
phaseMixin,0.0,0.0,Q3
quality,0.0689655172413793,0.0103092783505154,Q3
quantity,0.1724137931034483,0.0257731958762886,Q3
relator,0.6896551724137931,0.1030927835051546,Q1
role,0.7586206896551724,0.1134020618556701,Q1
roleMixin,0.4827586206896552,0.0721649484536082,Q1
situation,0.1379310344827586,0.0206185567010309,Q3
subkind,0.6551724137931034,0.0979381443298969,Q1
type,0.2068965517241379,0.0309278350515463,Q3
