Stereotype,x_value,y_value,quadrant
abstract,0,0.0,Q3
category,285,0.1030927835051546,Q1
collective,65,0.0463917525773195,Q2
datatype,10,0.0309278350515463,Q3
enumeration,23,0.0154639175257731,Q3
event,128,0.0618556701030927,Q1
historicalRole,0,0.0,Q3
historicalRoleMixin,0,0.0,Q3
kind,674,0.1237113402061855,Q1
mixin,67,0.0412371134020618,Q1
mode,278,0.0618556701030927,Q1
phase,135,0.0412371134020618,Q1
phaseMixin,0,0.0,Q3
quality,9,0.0103092783505154,Q3
quantity,33,0.0257731958762886,Q3
relator,905,0.1030927835051546,Q1
role,1436,0.1134020618556701,Q1
roleMixin,311,0.0721649484536082,Q1
situation,11,0.0206185567010309,Q3
subkind,1016,0.0979381443298969,Q1
type,136,0.0309278350515463,Q4
