stereotype,total_correlation,rank
bringsAbout,3.1927790445049578,5
characterization,2.561572729247882,11
componentOf,2.176097983787308,14
creation,2.739344045994877,9
derivation,2.5620544881166576,10
externalDependence,3.048361169970134,7
historicalDependence,3.44610668650055,4
instantiation,4.313206312511523,2
manifestation,4.428898446361816,1
material,2.7519953815635483,8
mediation,2.52402733371086,12
memberOf,2.3055992372189142,13
participation,3.9640995466846167,3
triggers,3.0796131588835385,6
none,1.4450748491725696,16
other,2.0683224630548036,15
