Stereotype,Frequency,Rank,Cumulative Frequency,Cumulative Percentage
none,1014,1,1014,39.51675759937646
mediation,365,2,1379,53.74123148869836
characterization,260,3,1639,63.87373343725643
material,225,4,1864,72.64224473889321
other,123,5,1987,77.435697583788
componentOf,117,6,2104,81.99532346063913
participation,101,7,2205,85.93141075604052
externalDependence,63,8,2268,88.38659392049884
instantiation,61,9,2329,90.76383476227592
derivation,52,10,2381,92.79033515198752
memberOf,36,11,2417,94.19329696024941
creation,34,12,2451,95.51831644583008
manifestation,31,13,2482,96.72642244738893
historicalDependence,30,14,2512,97.89555728760718
bringsAbout,23,15,2535,98.79189399844115
comparative,13,16,2548,99.29851909586905
triggers,13,17,2561,99.80514419329695
termination,3,18,2564,99.92205767731879
participational,2,19,2566,100.0
subQuantityOf,0,20,2566,100.0
subCollectionOf,0,21,2566,100.0
