Stereotype,DistanceFromOrigin,Rank
mediation,1968.5065405022153,1
material,625.3359097317217,2
characterization,562.1280992798705,3
componentOf,552.834514117923,4
derivation,222.4454989429995,5
participation,212.98356744124652,6
memberOf,205.35335400231475,7
externalDependence,80.0812087820857,8
instantiation,71.06335201775948,9
creation,62.6418390534633,10
historicalDependence,46.8187996428785,11
comparative,37.48332962798263,12
manifestation,36.05551275463989,13
bringsAbout,32.31098884280702,14
subCollectionOf,27.65863337187866,15
triggers,18.867962264113206,16
participational,17.46424919657298,17
subQuantityOf,14.560219778561036,18
termination,5.830951894845301,19
