model,x_value,y_value,quadrant
abel2015petroleum-system,29,3,Q3
abrahao2018agriculture-operations,20,23,Q2
aguiar2018rdbs-o,43,2,Q4
aguiar2019ooco,56,17,Q1
aires2022valuenetworks-geo,20,23,Q2
alpinebits2022,78,34,Q1
amaral2019rot,48,30,Q1
amaral2020game-theory,22,12,Q3
amaral2020rome,48,38,Q1
amaral2022ethical-requirements,24,3,Q3
andersson2018value-ascription,6,3,Q3
andrade2023integracao,43,28,Q1
barcelos2013normative-acts,45,18,Q1
barcelos2024resiliont,56,57,Q1
barros2020programming,12,0,Q3
bernasconi2021ontovcm,76,61,Q1
bernasconi2023fair-principles,46,29,Q1
brazilian-governmental-organizational-structures,15,2,Q3
buchtela2020connection,19,0,Q3
buridan-ontology2021,54,35,Q1
carolla2014campus-management,17,13,Q2
castro2012cloudvulnerability,32,21,Q1
cgts2021sebim,29,3,Q3
cmpo2017,53,6,Q4
core-o2023,30,19,Q1
dcat-mlt-ufo2023,24,9,Q3
demori2023miscon,31,13,Q1
dpo2017,40,7,Q4
duarte2020jogabilidade,19,11,Q3
elghosh2020cargos,10,9,Q3
elghosh2024eucaim,38,30,Q1
elikan2018brand-identity,30,19,Q1
eu-rent-refactored2022,66,48,Q1
falduci2022non-consensual-pornography,27,31,Q2
fernandez-cejas2022curie-o,29,18,Q2
fischer2018ontorea,18,9,Q3
fonseca2022incorporating,51,21,Q1
formula-one2023,26,10,Q3
fraller2019abc,39,18,Q1
franco2018rpg,20,12,Q3
fumagalli2022criminal-investigation,10,9,Q3
gailly2016value,4,0,Q3
garcia2022human-genome-events,15,7,Q3
gomes2022digital-technology,19,6,Q3
grueau2013towards,0,0,Q3
guarino2016value,18,16,Q2
guarino2018rea,11,4,Q3
guizzardi2005ontological,43,16,Q1
guizzardi2020decision-making,30,27,Q1
guizzardi2022ufo,62,32,Q1
haridy2021egyptian-e-government,32,16,Q1
heirbrant2023boekbazaar,42,6,Q4
jacobs2022sdpontology,34,0,Q4
junior2018o4c,11,5,Q3
khantong2020ontology,30,0,Q4
kostov2017towards,42,2,Q4
laurier2018rea,23,0,Q3
lindeberg2022simple-ontorights,61,61,Q1
machacova2023gym,41,21,Q1
maddalena2021ontocovid,68,14,Q1
martinez2013human-genome,10,12,Q3
moreira2018saref4health,16,3,Q3
nardi2015ufo-s,27,23,Q2
nascimento2023spacecon,9,0,Q3
neves2020nwpontology,33,0,Q4
neves2021grain-production,18,0,Q3
niederkofler2019dssapple,68,31,Q1
oliveira2007collaboration,16,0,Q3
oliveira2022rose,63,45,Q1
pereira2015doacao-orgaos,25,6,Q3
pereira2020ontotrans,35,0,Q4
piest2024dsr-kb,84,66,Q1
pinheiro2024api,28,30,Q2
plato-ontology2019,73,44,Q1
porello2020coex,17,26,Q2
ppo-o2021,55,13,Q1
public-expense-ontology2020,42,6,Q4
quality-assurance-process-ontology2017,16,1,Q3
ramirez2015userfeedback,50,28,Q1
ramos2021bias,49,23,Q1
repa2021public-administration,24,2,Q3
rocha2023ciencia-aberta,24,6,Q3
rodrigues2017urinary-profiles,48,22,Q1
romanenko2023what,55,26,Q1
sales2018competition,27,0,Q3
sales2018cover,63,45,Q1
santos2020valuenetworks,15,0,Q3
sariev2024maritime,83,30,Q1
sikora2021online-education,64,45,Q1
silva2012itarchitecture,84,6,Q4
silva2021sebim,42,3,Q4
silveira2021oap,32,18,Q1
spmo2017,17,2,Q3
tesolin2023hint,20,14,Q2
valaski2020medical-appointment,7,6,Q3
van-wingerde2020smart-contracts,34,0,Q4
vieira2020weathering,37,16,Q1
weigand2021artifact,48,44,Q1
zanetti2019orm-o,34,18,Q1
zhou2017hazard-ontology-robotic-strolling,13,0,Q3
zhou2017hazard-ontology-train-control,25,0,Q3
