Stereotype,Group-wise Frequency,Group-wise Rank,Cumulative Group-wise Frequency,Group-wise Cumulative Percentage
kind,22,1,22,8.764940239043826
relator,21,2,43,17.131474103585656
subkind,21,3,64,25.49800796812749
category,20,4,84,33.46613545816733
role,20,5,104,41.43426294820717
mediation,15,6,119,47.410358565737056
roleMixin,13,7,132,52.589641434262944
event,13,8,145,57.76892430278885
material,12,9,157,62.54980079681275
mode,11,10,168,66.93227091633466
characterization,10,11,178,70.91633466135458
componentOf,10,12,188,74.9003984063745
collective,7,13,195,77.68924302788844
phase,6,14,201,80.0796812749004
derivation,6,15,207,82.47011952191235
memberOf,6,16,213,84.86055776892431
mixin,5,17,218,86.85258964143426
situation,5,18,223,88.84462151394422
datatype,4,19,227,90.43824701195219
quality,4,20,231,92.03187250996015
quantity,3,21,234,93.22709163346613
type,3,22,237,94.42231075697211
enumeration,3,23,240,95.61752988047809
subCollectionOf,2,24,242,96.41434262948208
externalDependence,2,25,244,97.21115537848605
participation,2,26,246,98.00796812749005
bringsAbout,1,27,247,98.40637450199203
instantiation,1,28,248,98.80478087649402
historicalDependence,1,29,249,99.20318725099602
triggers,1,30,250,99.60159362549801
manifestation,1,31,251,100.0
abstract,0,32,251,100.0
historicalRoleMixin,0,33,251,100.0
historicalRole,0,34,251,100.0
comparative,0,35,251,100.0
phaseMixin,0,36,251,100.0
creation,0,37,251,100.0
participational,0,38,251,100.0
subQuantityOf,0,39,251,100.0
termination,0,40,251,100.0
