Percentage,Top k Stereotypes (Occurrence-wise),Coverage (Occurrence-wise),Top k Stereotypes (Group-wise),Coverage (Group-wise)
10.0,2,0.35058489897199574,2,0.22519083969465647
20.0,4,0.5359801488833746,4,0.4198473282442748
30.0,6,0.6767103863878058,6,0.5782442748091603
40.0,8,0.7926267281105991,8,0.700381679389313
50.0,10,0.8830202056008508,10,0.8072519083969466
60.0,12,0.9291031549096065,12,0.8740458015267175
70.0,14,0.9624246721020915,14,0.9312977099236641
80.0,16,0.9822757887274016,16,0.9675572519083969
90.0,18,0.9943282523927686,18,0.9847328244274809
100.0,21,1.0,21,1.0
