year,category,period,predicted,slope,intercept
2015,none (occurrence),2015-2018,1.8673905890095739,-0.5923000987166832,1195.3520895031263
2016,none (occurrence),2015-2018,1.275090490292996,-0.5923000987166832,1195.3520895031263
2017,none (occurrence),2015-2018,0.6827903915761908,-0.5923000987166832,1195.3520895031263
2018,none (occurrence),2015-2018,0.09049029285961296,-0.5923000987166832,1195.3520895031263
2015,none (model-wise),2015-2018,0.5925925925925952,0.03703703703703704,-74.03703703703704
2016,none (model-wise),2015-2018,0.6296296296296333,0.03703703703703704,-74.03703703703704
2017,none (model-wise),2015-2018,0.6666666666666714,0.03703703703703704,-74.03703703703704
2018,none (model-wise),2015-2018,0.7037037037037095,0.03703703703703704,-74.03703703703704
2015,other (occurrence),2015-2018,0.2270483711747282,0.013162224415926285,-26.294833826916737
2016,other (occurrence),2015-2018,0.2402105955906535,0.013162224415926285,-26.294833826916737
2017,other (occurrence),2015-2018,0.2533728200065788,0.013162224415926285,-26.294833826916737
2018,other (occurrence),2015-2018,0.26653504442250764,0.013162224415926285,-26.294833826916737
2015,other (model-wise),2015-2018,0.5185185185185333,0.14814814814814814,-297.99999999999994
2016,other (model-wise),2015-2018,0.6666666666666856,0.14814814814814814,-297.99999999999994
2017,other (model-wise),2015-2018,0.814814814814838,0.14814814814814814,-297.99999999999994
2018,other (model-wise),2015-2018,0.9629629629629903,0.14814814814814814,-297.99999999999994
