Stereotype,x_value,y_value,distance_from_origin,rank,quadrant
bringsAbout,0.0,0.0,0.0,16,Q1
characterization,0.0136986301369863,0.225,0.22541661976799748,8,Q1
comparative,0.001141552511415525,0.025,0.02502604927143554,10,Q1
componentOf,0.13356164383561644,0.45,0.46940250606922845,4,Q1
creation,0.0,0.0,0.0,16,Q1
derivation,0.06963470319634703,0.525,0.5295979530636834,3,Q1
externalDependence,0.0,0.0,0.0,16,Q1
historicalDependence,0.0,0.0,0.0,16,Q1
instantiation,0.0,0.0,0.0,16,Q1
manifestation,0.0,0.0,0.0,16,Q1
material,0.12899543378995434,0.7,0.7117863597587821,2,Q1
mediation,0.4257990867579909,0.9,0.9956429391523545,1,Q1
memberOf,0.05821917808219178,0.425,0.42896908128274924,6,Q1
participation,0.0,0.0,0.0,16,Q1
participational,0.0,0.0,0.0,16,Q1
subCollectionOf,0.014840182648401826,0.1,0.10109515824725697,9,Q1
subQuantityOf,0.0,0.0,0.0,16,Q1
termination,0.0,0.0,0.0,16,Q1
triggers,0.0,0.0,0.0,16,Q1
none,0.06735159817351598,0.275,0.28312759981415936,7,Q1
other,0.0867579908675799,0.45,0.4582869722994306,5,Q1
