Percentage,Top k Stereotypes (Occurrence-wise),Coverage (Occurrence-wise),Top k Stereotypes (Group-wise),Coverage (Group-wise)
10.0,2,0.37582797350484787,2,0.22209944751381216
20.0,4,0.6518191417874628,4,0.42320441988950275
30.0,6,0.7644235384467697,6,0.5867403314917127
40.0,8,0.8660842853028703,8,0.7104972375690608
50.0,10,0.9236824421618508,10,0.8099447513812155
60.0,12,0.957569357780551,12,0.8795580110497238
70.0,14,0.9741768263415571,14,0.9337016574585635
80.0,16,0.9888643563405971,16,0.9701657458563536
90.0,18,0.997120092157051,18,0.988950276243094
100.0,21,1.0,21,1.0
