Stereotype,Group-wise Frequency,Group-wise Rank,Cumulative Group-wise Frequency,Group-wise Cumulative Percentage
kind,112,1,112,11.38211382113821
relator,102,2,214,21.747967479674795
subkind,99,3,313,31.808943089430898
category,96,4,409,41.5650406504065
role,93,5,502,51.016260162601625
mode,66,6,568,57.72357723577236
event,63,7,631,64.1260162601626
roleMixin,62,8,693,70.42682926829268
quality,51,9,744,75.60975609756098
phase,46,10,790,80.28455284552845
collective,36,11,826,83.94308943089432
type,34,12,860,87.39837398373984
datatype,28,13,888,90.2439024390244
situation,24,14,912,92.6829268292683
mixin,24,15,936,95.1219512195122
quantity,13,16,949,96.44308943089432
enumeration,10,17,959,97.45934959349594
historicalRole,9,18,968,98.3739837398374
phaseMixin,8,19,976,99.1869918699187
historicalRoleMixin,6,20,982,99.79674796747967
abstract,2,21,984,100.0
