Stereotype,DistanceFromOrigin,Rank
mediation,45.724486626876065,1
componentOf,10.96660930361579,2
material,10.277627276737691,3
characterization,5.449849391981435,4
memberOf,4.484339102584496,5
derivation,3.898024490779787,6
subCollectionOf,0.6569006511578647,7
comparative,0.5173783604161244,8
externalDependence,0.2768876568537717,9
participation,0.13844382842688585,10
subQuantityOf,0.10615290482540263,11
bringsAbout,0.0,12
historicalDependence,0.0,12
manifestation,0.0,12
instantiation,0.0,12
creation,0.0,12
participational,0.0,12
termination,0.0,12
triggers,0.0,12
