Stereotype,DistanceFromOrigin,Rank
material,0.5836785960732714,1
mediation,0.547198683818692,2
componentOf,0.4742388593095331,3
characterization,0.4012790348003741,4
memberOf,0.36479912254579466,5
derivation,0.3283192102912152,6
subCollectionOf,0.14591964901831783,7
externalDependence,0.07295982450915892,8
subQuantityOf,0.07295982450915892,8
participation,0.03647991225457941,9
comparative,0.03647991225457941,9
bringsAbout,0.0,10
historicalDependence,0.0,10
manifestation,0.0,10
instantiation,0.0,10
creation,0.0,10
participational,0.0,10
termination,0.0,10
triggers,0.0,10
